rank,City,State,avg_salary
1,San Francisco ,California,"$96,500"
2,San Jose,California ,"$93,000"
3,Seattle,Washington,"$84,500"
4,Boston,Massachusetts ,"$91,000"
5,New York,New York  ,"$84,000"
6,Washington,D.C.  ,"$85,500"
7,Denver,Colorado,"$80,000"
8,Austin,Texas,"$81,500"
9,Houston,Texas ,"$78,000"
10,Los Angeles ,California,"$80,000"
11,San Diego,California,"$79,500"
12,Chicago,Illinois,"$76,000"
13,Philadelphia ,Pennsylvania,"$71,000"
14,Dallas,Texas,"$76,000"
15,Detroit,Michigan,"$73,000"
16,Charlotte,NorthCarolina,"$71,500"
17,Nashville,Tennessee ,"$70,000"
18,Phoenix,Arizona,"$71,000"
19,Columbus,Ohio,"$73,500"
20,Indianapolis,Indiana ,"$67,500"
21,Fort Worth,Texas ,"$66,000"
22,Jacksonville,Florida,"$65,500"
23,San Antonio,Texas,"$72,000"
24,Oklahoma City ,Oklahoma ,"$69,500"
25,El Paso,Texas,"$67,000"
