Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2011,Jan,66.1,61.1,3483533,3218531,265002,7.6
2011,Feb,66,61,3482261,3220677,261584,7.5
2011,Mar,65.9,61,3479416,3221128,258288,7.4
2011,Apr,65.8,61,3476255,3220663,255592,7.4
2011,May,65.7,60.9,3474604,3220732,253872,7.3
2011,Jun,65.7,60.9,3475347,3222636,252711,7.3
2011,Jul,65.7,60.9,3478517,3227066,251451,7.2
2011,Aug,65.7,61,3483335,3233573,249762,7.2
2011,Sep,65.7,61.1,3488645,3241226,247419,7.1
2011,Oct,65.8,61.2,3493484,3248942,244542,7
2011,Nov,65.8,61.2,3496743,3255358,241385,6.9
2011,Dec,65.7,61.3,3497899,3259580,238319,6.8
2012,Jan,65.7,61.3,3498166,3262377,235789,6.7
2012,Feb,65.6,61.3,3498974,3264746,234228,6.7
2012,Mar,65.6,61.2,3500416,3266409,234007,6.7
2012,Apr,65.6,61.2,3501752,3267063,234689,6.7
2012,May,65.6,61.2,3503312,3267718,235594,6.7
2012,Jun,65.5,61.1,3505430,3269278,236152,6.7
2012,Jul,65.5,61.1,3507770,3271778,235992,6.7
2012,Aug,65.5,61.1,3510235,3274743,235492,6.7
2012,Sep,65.5,61.1,3512915,3277612,235303,6.7
2012,Oct,65.5,61.1,3514788,3279317,235471,6.7
2012,Nov,65.4,61,3515318,3279422,235896,6.7
2012,Dec,65.3,61,3514801,3278423,236378,6.7
2013,Jan,65.3,60.9,3513585,3276681,236904,6.7
2013,Feb,65.2,60.8,3512599,3275220,237379,6.8
2013,Mar,65.2,60.8,3513023,3275474,237549,6.8
2013,Apr,65.2,60.8,3515403,3278014,237389,6.8
2013,May,65.2,60.8,3518522,3281377,237145,6.7
2013,Jun,65.1,60.8,3520920,3284024,236896,6.7
2013,Jul,65.1,60.7,3521770,3285397,236373,6.7
2013,Aug,65,60.7,3520422,3285726,234696,6.7
2013,Sep,64.9,60.6,3517704,3286121,231583,6.6
2013,Oct,64.8,60.6,3516257,3288254,228003,6.5
2013,Nov,64.8,60.7,3517745,3293116,224629,6.4
2013,Dec,64.8,60.7,3522182,3300577,221605,6.3
2014,Jan,64.9,60.9,3528825,3310181,218644,6.2
2014,Feb,65,61,3536741,3321159,215582,6.1
2014,Mar,65.1,61.2,3544719,3331902,212817,6
2014,Apr,65.2,61.3,3551300,3340784,210516,5.9
2014,May,65.2,61.4,3556705,3348340,208365,5.9
2014,Jun,65.3,61.5,3562788,3356523,206265,5.8
2014,Jul,65.3,61.6,3570532,3366302,204230,5.7
2014,Aug,65.5,61.8,3580091,3377865,202226,5.6
2014,Sep,65.6,61.9,3590220,3390213,200007,5.6
2014,Oct,65.7,62.1,3598416,3401460,196956,5.5
2014,Nov,65.7,62.2,3602853,3409823,193030,5.4
2014,Dec,65.7,62.3,3603769,3414729,189040,5.2
2015,Jan,65.6,62.3,3602272,3416690,185582,5.2
