Date,Retail Trade,Leisure and Hospitality
Dec 2000,502000,566000
Jan 2001,533000,654000
Feb 2001,586000,601000
Mar 2001,431000,695000
Apr 2001,502000,582000
May 2001,487000,527000
Jun 2001,462000,447000
Jul 2001,409000,588000
Aug 2001,347000,544000
Sep 2001,384000,540000
Oct 2001,417000,375000
Nov 2001,419000,452000
Dec 2001,427000,434000
Jan 2002,399000,356000
Feb 2002,354000,414000
Mar 2002,367000,410000
Apr 2002,331000,376000
May 2002,321000,399000
Jun 2002,366000,342000
Jul 2002,391000,376000
Aug 2002,376000,395000
Sep 2002,334000,351000
Oct 2002,360000,382000
Nov 2002,308000,406000
Dec 2002,288000,377000
Jan 2003,366000,392000
Feb 2003,337000,362000
Mar 2003,324000,352000
Apr 2003,355000,371000
May 2003,357000,430000
Jun 2003,347000,424000
Jul 2003,310000,338000
Aug 2003,361000,389000
Sep 2003,349000,396000
Oct 2003,333000,458000
Nov 2003,344000,438000
Dec 2003,405000,446000
Jan 2004,346000,454000
Feb 2004,415000,467000
Mar 2004,399000,443000
Apr 2004,402000,410000
May 2004,435000,429000
Jun 2004,395000,466000
Jul 2004,435000,516000
Aug 2004,397000,465000
Sep 2004,527000,524000
Oct 2004,462000,486000
Nov 2004,317000,428000
Dec 2004,437000,471000
Jan 2005,440000,541000
Feb 2005,484000,525000
Mar 2005,516000,558000
Apr 2005,536000,625000
May 2005,455000,535000
Jun 2005,448000,577000
Jul 2005,487000,536000
Aug 2005,510000,514000
Sep 2005,514000,485000
Oct 2005,470000,505000
Nov 2005,505000,529000
Dec 2005,465000,587000
Jan 2006,465000,634000
Feb 2006,465000,594000
Mar 2006,583000,563000
Apr 2006,481000,676000
May 2006,511000,545000
Jun 2006,540000,539000
Jul 2006,417000,589000
Aug 2006,494000,571000
Sep 2006,520000,575000
Oct 2006,494000,588000
Nov 2006,492000,616000
Dec 2006,544000,580000
Jan 2007,500000,512000
Feb 2007,502000,554000
Mar 2007,474000,625000
Apr 2007,487000,563000
May 2007,439000,584000
Jun 2007,506000,633000
Jul 2007,498000,629000
Aug 2007,458000,635000
Sep 2007,462000,676000
Oct 2007,442000,608000
Nov 2007,485000,635000
Dec 2007,417000,582000
Jan 2008,450000,574000
Feb 2008,390000,552000
Mar 2008,409000,583000
Apr 2008,427000,549000
May 2008,450000,555000
Jun 2008,376000,471000
Jul 2008,398000,440000
Aug 2008,441000,431000
Sep 2008,273000,410000
Oct 2008,455000,409000
Nov 2008,417000,349000
Dec 2008,388000,348000
Jan 2009,376000,241000
Feb 2009,323000,326000
Mar 2009,297000,263000
Apr 2009,219000,273000
May 2009,406000,296000
Jun 2009,299000,283000
Jul 2009,196000,259000
Aug 2009,281000,198000
Sep 2009,261000,286000
Oct 2009,215000,261000
Nov 2009,241000,279000
Dec 2009,299000,258000
Jan 2010,332000,279000
Feb 2010,343000,266000
Mar 2010,348000,239000
Apr 2010,294000,283000
May 2010,323000,312000
Jun 2010,314000,329000
Jul 2010,324000,323000
Aug 2010,284000,364000
Sep 2010,255000,317000
Oct 2010,333000,417000
Nov 2010,327000,319000
Dec 2010,325000,352000
Jan 2011,353000,366000
Feb 2011,397000,389000
Mar 2011,351000,393000
Apr 2011,401000,331000
May 2011,431000,319000
Jun 2011,451000,406000
Jul 2011,437000,363000
Aug 2011,396000,392000
Sep 2011,392000,428000
Oct 2011,410000,429000
Nov 2011,497000,434000
Dec 2011,442000,441000
Jan 2012,403000,453000
Feb 2012,389000,379000
Mar 2012,448000,447000
Apr 2012,384000,481000
May 2012,372000,458000
Jun 2012,377000,483000
Jul 2012,416000,489000
Aug 2012,483000,423000
Sep 2012,496000,422000
Oct 2012,305000,483000
Nov 2012,469000,499000
Dec 2012,507000,481000
Jan 2013,473000,470000
Feb 2013,402000,520000
Mar 2013,472000,514000
Apr 2013,534000,478000
May 2013,558000,469000
Jun 2013,634000,489000
Jul 2013,488000,503000
Aug 2013,484000,523000
Sep 2013,530000,550000
Oct 2013,530000,540000
Nov 2013,508000,543000
Dec 2013,525000,585000
Jan 2014,528000,596000
Feb 2014,630000,558000
Mar 2014,665000,571000
Apr 2014,652000,662000
May 2014,625000,710000
Jun 2014,634000,674000
Jul 2014,601000,630000
Aug 2014,840000,705000
Sep 2014,589000,708000
Oct 2014,598000,671000
Nov 2014,508000,631000
Dec 2014,544000,707000
Jan 2015,616000,802000
Feb 2015,681000,750000
Mar 2015,527000,719000
Apr 2015,589000,720000
May 2015,543000,703000
Jun 2015,572000,666000
Jul 2015,823000,761000
Aug 2015,661000,695000
Sep 2015,678000,705000
Oct 2015,655000,785000
Nov 2015,578000,764000
Dec 2015,642000,747000
Jan 2016,719000,759000
Feb 2016,711000,758000
Mar 2016,705000,827000
Apr 2016,672000,763000
May 2016,722000,743000
Jun 2016,712000,794000
Jul 2016,693000,757000
Aug 2016,648000,803000
Sep 2016,704000,739000
Oct 2016,661000,760000
Nov 2016,626000,765000
Dec 2016,669000,748000
Jan 2017,639000,736000
Feb 2017,648000,894000
Mar 2017,695000,750000
Apr 2017,649000,843000
May 2017,686000,836000
Jun 2017,677000,848000
Jul 2017,687000,864000
Aug 2017,779000,894000
Sep 2017,735000,766000
Oct 2017,744000,821000
Nov 2017,906000,879000
Dec 2017,947000,885000
Jan 2018,876000,931000
Feb 2018,842000,918000
Mar 2018,920000,931000
Apr 2018,1040000,963000
May 2018,967000,967000
Jun 2018,962000,1067000
Jul 2018,950000,1027000
Aug 2018,801000,1003000
Sep 2018,927000,1057000
Oct 2018,964000,1013000
Nov 2018,1037000,1016000
Dec 2018,895000,1084000
Jan 2019,807000,1131000
Feb 2019,791000,993000
Mar 2019,763000,1024000
Apr 2019,757000,1022000
May 2019,751000,1025000
Jun 2019,809000,952000
Jul 2019,838000,969000
Aug 2019,803000,955000
Sep 2019,740000,1001000
Oct 2019,891000,990000
Nov 2019,717000,970000
Dec 2019,723000,924000
Jan 2020,752000,927000
Feb 2020,734000,945000
Mar 2020,571000,648000
Apr 2020,446000,345000
May 2020,659000,737000
Jun 2020,658000,918000
Jul 2020,781000,859000
Aug 2020,734000,827000
Sep 2020,674000,837000
Oct 2020,703000,888000
Nov 2020,720000,859000
Dec 2020,764000,747000
Jan 2021,793000,738000
Feb 2021,819000,942000
Mar 2021,899000,1195000
Apr 2021,955000,1405000
May 2021,1020000,1511000
Jun 2021,1195000,1685000
Jul 2021,1100000,1819000
