Date,Total_nonfarm,Mining_and_logging,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_warehousing_and_utilities,Information,Financial_activities,Professional_and_business_services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
Dec 2000,5088000,8000,233000,425000,172000,502000,111000,161000,274000,871000,919000,566000,299000,548000
Jan 2001,5234000,12000,241000,445000,251000,533000,171000,166000,239000,888000,842000,654000,310000,482000
Feb 2001,5097000,8000,253000,420000,220000,586000,156000,147000,263000,1032000,808000,601000,125000,479000
Mar 2001,4762000,18000,188000,436000,132000,431000,124000,130000,301000,901000,818000,695000,142000,445000
Apr 2001,4615000,18000,226000,354000,211000,502000,134000,171000,223000,834000,708000,582000,162000,490000
May 2001,4425000,15000,224000,327000,124000,487000,110000,108000,265000,750000,812000,527000,192000,486000
Jun 2001,4361000,10000,174000,324000,129000,462000,123000,114000,266000,768000,765000,447000,248000,531000
Jul 2001,4447000,12000,178000,308000,125000,409000,144000,115000,257000,756000,804000,588000,242000,509000
Aug 2001,4024000,13000,127000,266000,106000,347000,127000,117000,248000,594000,847000,544000,201000,487000
Sep 2001,4071000,11000,167000,338000,99000,384000,123000,67000,261000,644000,772000,540000,233000,434000
Oct 2001,3707000,11000,141000,265000,114000,417000,117000,73000,212000,576000,758000,375000,192000,458000
Nov 2001,3775000,7000,164000,230000,103000,419000,107000,91000,212000,604000,733000,452000,166000,486000
Dec 2001,3677000,17000,124000,231000,89000,427000,97000,101000,204000,585000,746000,434000,174000,449000
Jan 2002,3699000,15000,129000,262000,116000,399000,100000,92000,306000,592000,756000,356000,165000,410000
Feb 2002,3436000,17000,110000,261000,107000,354000,84000,99000,163000,418000,766000,414000,148000,498000
Mar 2002,3612000,4000,139000,243000,152000,367000,104000,94000,224000,548000,718000,410000,161000,448000
Apr 2002,3471000,8000,120000,245000,115000,331000,116000,97000,229000,541000,702000,376000,143000,446000
May 2002,3457000,6000,136000,239000,98000,321000,108000,110000,208000,567000,654000,399000,158000,452000
Jun 2002,3412000,8000,140000,250000,114000,366000,88000,69000,245000,514000,760000,342000,110000,405000
Jul 2002,3367000,7000,102000,256000,96000,391000,80000,95000,180000,543000,689000,376000,112000,440000
Aug 2002,3517000,8000,114000,231000,109000,376000,91000,81000,200000,617000,710000,395000,140000,444000
Sep 2002,3301000,6000,142000,240000,102000,334000,70000,67000,170000,572000,712000,351000,142000,390000
Oct 2002,3479000,9000,126000,211000,111000,360000,94000,73000,276000,645000,657000,382000,152000,384000
Nov 2002,3514000,7000,110000,228000,100000,308000,96000,90000,228000,590000,762000,406000,162000,427000
Dec 2002,3169000,4000,111000,230000,90000,288000,92000,61000,219000,559000,635000,377000,132000,372000
Jan 2003,3441000,5000,107000,201000,96000,366000,94000,80000,210000,684000,640000,392000,133000,435000
Feb 2003,3229000,6000,92000,191000,98000,337000,104000,71000,194000,623000,594000,362000,172000,386000
Mar 2003,3099000,4000,90000,209000,94000,324000,91000,81000,203000,575000,582000,352000,129000,365000
Apr 2003,3108000,5000,138000,187000,85000,355000,73000,55000,206000,523000,611000,371000,159000,340000
May 2003,3289000,10000,104000,196000,94000,357000,86000,57000,210000,640000,651000,430000,123000,333000
Jun 2003,3390000,8000,112000,197000,84000,347000,135000,71000,210000,660000,603000,424000,136000,401000
Jul 2003,2981000,10000,136000,186000,85000,310000,90000,61000,238000,538000,540000,338000,104000,345000
Aug 2003,3190000,6000,112000,220000,112000,361000,91000,64000,233000,609000,562000,389000,117000,314000
Sep 2003,3091000,8000,79000,194000,92000,349000,92000,95000,213000,583000,551000,396000,105000,335000
Oct 2003,3305000,7000,105000,223000,98000,333000,85000,92000,220000,585000,612000,458000,107000,382000
Nov 2003,3324000,6000,118000,242000,113000,344000,97000,63000,241000,627000,582000,438000,140000,313000
Dec 2003,3414000,9000,135000,243000,121000,405000,102000,84000,199000,634000,565000,446000,144000,326000
Jan 2004,3424000,9000,170000,238000,117000,346000,83000,76000,275000,556000,613000,454000,159000,329000
Feb 2004,3532000,6000,125000,231000,96000,415000,79000,89000,269000,620000,611000,467000,173000,351000
Mar 2004,3525000,9000,149000,249000,106000,399000,123000,79000,220000,570000,634000,443000,176000,366000
Apr 2004,3511000,10000,146000,269000,123000,402000,76000,85000,256000,624000,625000,410000,131000,353000
May 2004,3710000,9000,150000,288000,131000,435000,84000,101000,250000,676000,625000,429000,165000,367000
Jun 2004,3337000,10000,116000,265000,140000,395000,85000,88000,222000,584000,538000,466000,94000,335000
Jul 2004,3814000,9000,124000,283000,159000,435000,108000,98000,286000,686000,611000,516000,168000,332000
Aug 2004,3541000,8000,148000,267000,124000,397000,80000,85000,266000,642000,601000,465000,130000,326000
Sep 2004,3821000,9000,112000,260000,157000,527000,75000,89000,312000,679000,603000,524000,130000,346000
Oct 2004,3943000,9000,148000,279000,122000,462000,81000,98000,275000,777000,671000,486000,150000,386000
Nov 2004,3472000,11000,146000,242000,135000,317000,80000,63000,246000,673000,626000,428000,148000,358000
Dec 2004,4074000,11000,175000,269000,150000,437000,97000,99000,278000,881000,656000,471000,150000,400000
Jan 2005,3804000,11000,144000,283000,101000,440000,103000,89000,284000,732000,610000,541000,153000,314000
Feb 2005,3965000,10000,166000,280000,165000,484000,115000,75000,269000,750000,632000,525000,126000,368000
Mar 2005,4044000,13000,167000,286000,135000,516000,96000,89000,243000,736000,689000,558000,164000,352000
Apr 2005,4159000,10000,134000,289000,138000,536000,108000,103000,299000,714000,666000,625000,183000,353000
May 2005,3797000,13000,120000,268000,150000,455000,105000,75000,226000,663000,697000,535000,140000,349000
Jun 2005,4062000,12000,134000,256000,138000,448000,154000,106000,280000,764000,695000,577000,141000,357000
Jul 2005,4256000,13000,151000,290000,142000,487000,128000,97000,315000,837000,699000,536000,170000,392000
